ds,y
4/6/20,27
4/7/20,27
4/8/20,57
4/9/20,53
4/10/20,32
4/11/20,30
4/12/20,26
4/13/20,23
4/14/20,43
4/15/20,49
4/16/20,49
4/17/20,41
4/18/20,27
4/19/20,19
4/20/20,19
4/21/20,39
4/22/20,56
4/23/20,41
4/24/20,46
4/25/20,40
4/26/20,20
4/27/20,19
4/28/20,46
4/29/20,26
4/30/20,46
5/1/20,40
5/2/20,50
5/3/20,33
5/4/20,19
5/5/20,40
5/6/20,27
5/7/20,46
5/8/20,32
5/9/20,38
5/10/20,46
5/11/20,29
5/12/20,34
5/13/20,83
5/14/20,76
5/15/20,94
5/16/20,79
5/17/20,46
5/18/20,41
5/19/20,96
5/20/20,65
5/21/20,80
5/22/20,70
5/23/20,52
5/24/20,22
5/25/20,28
5/26/20,25
5/27/20,39
5/28/20,32
5/29/20,34
5/30/20,44
5/31/20,25
6/1/20,11
6/2/20,43
6/3/20,40
6/4/20,33
6/5/20,30
6/6/20,32
6/7/20,32
6/8/20,18
6/9/20,23
6/10/20,21
6/11/20,22
6/12/20,24
6/13/20,11
6/14/20,27
